seed,method,ap,f1,tecr
20260522,clip_knn_class_thresholds,0.8238654650917882,0.7671772396625238,0.23330212234706615
20260523,clip_knn_class_thresholds,0.7111385961054263,0.6588211596169037,0.1723633901657928
20260524,clip_knn_class_thresholds,0.781246404278584,0.7303336213891057,0.23611045224559762
20260525,clip_knn_class_thresholds,0.809178495992439,0.7569063120482413,0.2394022010617137
20260526,clip_knn_class_thresholds,0.7071543268261702,0.6727024721836468,0.27830981078518896
20260522,clip_knn_global_threshold,0.8238654650917882,0.7645112935215863,0.2921798862810099
20260522,clip_knn_global_threshold,0.8238654650917882,0.7645112935215863,0.2921798862810099
20260523,clip_knn_global_threshold,0.7111385961054263,0.6694503796367599,0.18578475518202114
20260523,clip_knn_global_threshold,0.7111385961054263,0.6694503796367599,0.18578475518202114
20260524,clip_knn_global_threshold,0.781246404278584,0.7302627830630675,0.23604250509686714
20260524,clip_knn_global_threshold,0.781246404278584,0.7302627830630675,0.23604250509686714
20260525,clip_knn_global_threshold,0.809178495992439,0.7536282329933383,0.22853129778049275
20260525,clip_knn_global_threshold,0.809178495992439,0.7536282329933383,0.22853129778049275
20260526,clip_knn_global_threshold,0.7071543268261702,0.6769029433098364,0.31713283645246787
20260526,clip_knn_global_threshold,0.7071543268261702,0.6769029433098364,0.31713283645246787
20260522,clip_knn_isotonic_class_thresholds,0.8182790932747304,0.7689511091239981,0.23330212234706615
20260523,clip_knn_isotonic_class_thresholds,0.6993655569940243,0.6612829520861517,0.1723633901657928
20260524,clip_knn_isotonic_class_thresholds,0.7641547932029624,0.7297658463140756,0.23803352916867454
20260525,clip_knn_isotonic_class_thresholds,0.8028106613485558,0.7570576955549453,0.23722828801823542
20260526,clip_knn_isotonic_class_thresholds,0.6996888389394185,0.6725509609161522,0.27830981078518896
20260522,clip_knn_isotonic_global_threshold,0.8182790932747304,0.7675749685329217,0.26837092370800236
20260523,clip_knn_isotonic_global_threshold,0.6993655569940243,0.6609469037254443,0.1538098098475066
20260524,clip_knn_isotonic_global_threshold,0.7641547932029624,0.7326329397833647,0.2307475369071621
20260525,clip_knn_isotonic_global_threshold,0.8028106613485558,0.7600618767196108,0.24978064076711531
20260526,clip_knn_isotonic_global_threshold,0.6996888389394185,0.6788946205298901,0.30586773963102803
20260522,elta_confidence_heldout,0.8234526774760533,0.76282419700623,0.15455593096042536
20260523,elta_confidence_heldout,0.7103841284182526,0.6623337551859747,0.13700952402278002
20260524,elta_confidence_heldout,0.7810913726004933,0.7270808364128228,0.20239434561977085
20260525,elta_confidence_heldout,0.8095140202865732,0.7537174490026601,0.18820001881581766
20260526,elta_confidence_heldout,0.708533168596209,0.6767789935388102,0.2271026561356237
20260522,heldout_gate_class_thresholds,0.8234526774760533,0.7613940333139935,0.17823169340023273
20260523,heldout_gate_class_thresholds,0.7103841284182526,0.6554136367345391,0.14866321429080337
20260524,heldout_gate_class_thresholds,0.7810913726004933,0.7256929462488558,0.2276383242666533
20260525,heldout_gate_class_thresholds,0.8095140202865732,0.7519801487822759,0.19302899502872842
20260526,heldout_gate_class_thresholds,0.708533168596209,0.6717198296065321,0.2222846088473303
20260522,heldout_gate_global_threshold,0.8234526774760533,0.76282419700623,0.15455593096042536
20260523,heldout_gate_global_threshold,0.7103841284182526,0.6623337551859747,0.13700952402278002
20260524,heldout_gate_global_threshold,0.7810913726004933,0.7270808364128228,0.20239434561977085
20260525,heldout_gate_global_threshold,0.8095140202865732,0.7537174490026601,0.18820001881581766
20260526,heldout_gate_global_threshold,0.708533168596209,0.6767789935388102,0.2271026561356237
