run_key,config,best_training_method,gate_wins,best_training_tecr,heldout_gate_tecr,clip_knn_tecr,gate_minus_training_tecr,best_training_ap,heldout_gate_ap,best_training_f1,heldout_gate_f1
base,coco_heldout_ultrastrict,text_init_asl_class_thresholds,True,0.17162856389202305,0.1491036632996594,0.18954316578690586,-0.022524900592363645,0.8989383723071492,0.9001894631931924,0.8235370628395522,0.811199110350497
classB,coco_heldout_ultrastrict_classB,text_init_asl_class_thresholds,True,0.1847778691393308,0.16085422251294798,0.21811185907860162,-0.023923646626382827,0.8552843776898804,0.8516411833091085,0.7611862244153028,0.7537558494109083
classB_s20260523,coco_heldout_ultrastrict_classB_s20260523,text_init_asl_class_thresholds,True,0.22428978530782157,0.17262490316965443,0.25465792566747536,-0.05166488213816714,0.849408469969277,0.8442246300282206,0.766105063276031,0.758162647375318
classB_s20260524,coco_heldout_ultrastrict_classB_s20260524,text_init_asl_class_thresholds,True,0.2508056350382787,0.16767319110414527,0.2978696429782596,-0.08313244393413341,0.8645264969374107,0.8594805441769665,0.7714493389514636,0.7668585923013677
classB_s20260525,coco_heldout_ultrastrict_classB_s20260525,text_init_asl_class_thresholds,True,0.213008579454201,0.20699885513277505,0.2670033068802372,-0.006009724321425963,0.8740966641442706,0.863384313807491,0.7858915070933817,0.7821661989479796
classB_s20260526,coco_heldout_ultrastrict_classB_s20260526,text_init_asl_class_thresholds,True,0.22573829235456416,0.13783904757020665,0.18581127799990146,-0.08789924478435751,0.8598307756211703,0.8607200973222856,0.7856679428556536,0.776889677637749
classB_s20260527,coco_heldout_ultrastrict_classB_s20260527,text_init_asl_class_thresholds,True,0.21574404807219275,0.167173512569819,0.24509531554573494,-0.04857053550237375,0.8612314802432153,0.8609069980532957,0.7662099266036824,0.7748931967611411
s20260523,coco_heldout_ultrastrict_s20260523,text_init_asl_class_thresholds,True,0.253308780407159,0.2241172251738072,0.29848643652947604,-0.02919155523335179,0.8978096432610023,0.90422515904093,0.8223727436877208,0.8229588053053829
s20260524,coco_heldout_ultrastrict_s20260524,text_init_asl_class_thresholds,False,0.2701381442213142,0.2735997589205609,0.3353847323951463,0.0034616146992466623,0.9133956588446359,0.9069895349253351,0.8223497378150585,0.8159225927543041
s20260525,coco_heldout_ultrastrict_s20260525,text_init_asl_class_thresholds,False,0.23042894786373047,0.24796457527979268,0.33990165993426863,0.01753562741606221,0.910215261968192,0.9100261609546484,0.8331128790942002,0.8291028762689578
s20260526,coco_heldout_ultrastrict_s20260526,text_init_asl_class_thresholds,True,0.19176525216509285,0.14211822164074772,0.20731906067561576,-0.04964703052434513,0.9057679705195186,0.9056959312254586,0.8237190708870676,0.8147418950740406
s20260527,coco_heldout_ultrastrict_s20260527,text_init_asl_class_thresholds,True,0.22367589866703597,0.16693286277762434,0.21493855745721455,-0.056743035889411625,0.9035434592319632,0.8986836547974926,0.8224865885095145,0.8135676982885076
