"dataset","method","num_configs","num_split_level_rows","average_precision_mean","average_precision_std","auroc_mean","auroc_std","precision_mean","precision_std","recall_mean","recall_std","best_f1_mean","best_f1_std","tecr_mean","tecr_std","ap_delta_pct","f1_delta_pct","tecr_reduction_pct"
"coco","clip_knn","12","60","0.875571225262079","0.0275033923317853","0.884805411606403","0.00821704304085587","0.763068968889128","0.0354071449089622","0.820488586460403","0.030799174461087","0.788741080779922","0.030600930612324","0.254510245077403","0.0538930733031925","0.0","0.0","0.0"
"coco","known_aware_logistic","12","60","0.875432150751353","0.0251694372929607","0.885333519925632","0.00736886771685664","0.756533892142558","0.0267044971764603","0.831847895709392","0.0415137915108606","0.789845710534417","0.0291150501818586","0.224010786813159","0.046139277199996","-0.0158838603546521","0.140049730058795","11.9835876370983"
"coco","permuted_known_logistic","12","60","0.87287005812865","0.0287995212378405","0.882700514339999","0.00897375765374233","0.758699211717823","0.0373129950487309","0.820005700497745","0.0335353470037591","0.786197369339109","0.0326935962005967","0.261485141767862","0.0570337439453301","-0.308503415312719","-0.322502720195265","-2.74051706183297"
"coco","score_only_logistic","12","60","0.875523634170056","0.0274701317369396","0.884790482352687","0.00819959742178999","0.763068968889128","0.0354071449089622","0.820488586460403","0.030799174461087","0.788741080779922","0.030600930612324","0.254510245077403","0.0538930733031925","-0.00543543353759858","0","0"
"nuswide","clip_knn","10","50","0.786304987503292","0.0480501907284519","0.869903573884733","0.0102810698494905","0.683038809049932","0.0419362273751653","0.797836076733983","0.0374742767557358","0.733900059361612","0.0375310389734297","0.25708221689614","0.051538938902678","0.0","0.0","0.0"
"nuswide","known_aware_logistic","10","50","0.785124524106332","0.0501705034122552","0.868685249489978","0.0113595564160482","0.687037577955051","0.041238046665993","0.786428217132062","0.0478890559717146","0.731524489013895","0.0412841535147232","0.236226071133762","0.0486237521530701","-0.15012792945753","-0.323691259785885","8.11263649978722"
"nuswide","permuted_known_logistic","10","50","0.783931942375654","0.0497252996363706","0.868261837826341","0.0106237901523595","0.684036377618312","0.0444893085040742","0.792188528780399","0.0379370655656272","0.732210931333328","0.0398203119578552","0.255538076521598","0.0485684738581315","-0.301797033638622","-0.230157772401931","0.600640679540435"
"nuswide","score_only_logistic","10","50","0.786292660240961","0.0480528231486087","0.869905030581808","0.0102809832989248","0.683038809049932","0.0419362273751653","0.797836076733983","0.0374742767557358","0.733900059361612","0.0375310389734297","0.25708221689614","0.051538938902678","-0.00156774566187522","0","0"
"openimages","clip_knn","12","60","0.851850153451094","0.0077699044662685","0.872866864458827","0.00426914453407723","0.720002923059803","0.00999707017987865","0.832877796611398","0.0184674381931929","0.771341799177927","0.00790798887719497","0.259231631321906","0.0217318024684709","0.0","0.0","0.0"
"openimages","known_aware_logistic","12","60","0.850821786305669","0.00795237528203659","0.872327726210446","0.00415768363429283","0.722742938678846","0.0124108133988189","0.827680445312411","0.0163679731566884","0.770752447188244","0.00714496568918461","0.248276010256977","0.0282231526300669","-0.120721601241563","-0.0764060744939848","4.2261899171265"
"openimages","permuted_known_logistic","12","60","0.851042924881635","0.00802146894643868","0.872000961852188","0.00456636906768957","0.718921666949729","0.00912154982971131","0.83321742470774","0.0207545145862312","0.771138579653861","0.00724293518792007","0.261612855724836","0.024188103637317","-0.0947618036092302","-0.0263462351297898","-0.918570157039441"
"openimages","score_only_logistic","12","60","0.851921195107468","0.00780062019631147","0.872870671080733","0.00427176759262515","0.720002923059803","0.00999707017987865","0.832877796611398","0.0184674381931929","0.771341799177927","0.00790798887719497","0.259231631321906","0.0217318024684709","0.00833968933225646","0","0"
