variant,tail_fraction,emerging_count,method,num_splits,tail_count_mean,average_precision_mean,average_precision_std,best_f1_mean,best_f1_std,tecr_mean,tecr_std,tecr_reduction_pct
tail10_emerging15,0.1,15,clip_knn,5,12.0,0.8596964567160015,0.03251609671832062,0.7807130754262317,0.035215758677346054,0.27389434431436155,0.04698126994777549,0.0
tail10_emerging15,0.1,15,heldout_gate,5,12.0,0.8594967258803397,0.0328593884781856,0.7763129755898278,0.03719551539676655,0.19705296895457972,0.033193608630171116,28.055115760837815
tail20_emerging10,0.2,10,clip_knn,5,24.0,0.8203892123092592,0.07716821574682643,0.7418738453137103,0.07425785700357498,0.17616721671723892,0.06883254560383435,0.0
tail20_emerging10,0.2,10,heldout_gate,5,24.0,0.8195635899900553,0.07739646711957857,0.7400380626417131,0.07342817639970889,0.14326242306250223,0.036362991477516385,18.6781594600267
tail20_emerging15,0.2,15,clip_knn,5,24.0,0.8596964567160015,0.03251609671832062,0.7807130754262317,0.035215758677346054,0.2603150741808383,0.021975058900692283,0.0
tail20_emerging15,0.2,15,heldout_gate,5,24.0,0.860021374708982,0.03272412717642885,0.7765464146879202,0.037404319780870644,0.18634356319588435,0.04604180075049694,28.416145787072892
tail20_emerging20,0.2,20,clip_knn,5,24.0,0.8876163129776877,0.03110209768669117,0.8131154195167956,0.035756403705413504,0.396352772312287,0.15171025489952744,0.0
tail20_emerging20,0.2,20,heldout_gate,5,24.0,0.8872572748759648,0.032465517087749064,0.8067714041306259,0.04478234918100315,0.2952740106262624,0.12976739675319765,25.502221441858484
tail30_emerging15,0.3,15,clip_knn,5,36.0,0.8596964567160015,0.03251609671832062,0.7807130754262317,0.035215758677346054,0.253582647948359,0.024668193406553903,0.0
tail30_emerging15,0.3,15,heldout_gate,5,36.0,0.8591194630610165,0.03349674847126441,0.7770723793614897,0.03626989495639479,0.1795549370554907,0.036977514686344796,29.192735185864816
